variance	energy	centroid	frequency	c5	c6	c7	c8	c9	c10	target
11.5873	222.6272	1297.895	3.445475	0.5005855	0.2979927	4.872074	-0.000494463	736.3	334.27783	sintos
34.80726	239.7474	1574.507	3.593061	0.560515	0.3486572	6.615674	-0.000551713	566.14	129.46493	sintos
58.02721	293.2885	1999.366	3.54132	0.4702705	0.4516958	7.137479	-0.00034146	920.14	435.96384	sintos
81.24717	269.4228	1514.205	3.622071	0.5093166	0.3647361	5.393198	-0.000572126	695.57	249.93684	sintos
104.46712	230.8652	1569.098	3.44284	0.5009301	0.4035192	4.499886	-0.000411665	807.41	252.69056	contos
127.68707	226.3671	1825.056	3.382216	0.5045944	0.4505135	6.745457	-0.000299704	601.03	410.63285	contos
150.90703	158.45697	1825.056	3.316933	0.5026296	0.3708747	4.872074	-0.000551713	695.57	334.27783	contos
174.12698	110.919879	1574.507	3.179691	0.4431165	0.4886814	6.615674	-0.00034146	807.41	316.77948	contos
197.34694	77.6439153	1576.4	3.217051	0.4280896	0.3725672	7.137479	-0.000572126	601.03	435.96384	contos
220.56689	232.1887	2945.489	3.627806	0.3716482	0.5180536	9.280861	-0.000284577	493.74	144.18301	contos
243.78685	266.8483	3293.953	5.132127	0.3826559	0.4477203	7.222134	-0.001726842	414.03	145.74281	contos
267.0068	250.7014	3665.681	5.206502	0.3016734	0.5755957	5.662452	-0.001375057	438.71	316.77948	contos
290.22676	197.3979	4229.889	5.05306	0.1666886	0.5646113	12.831265	-0.000477073	757.08	413.42543	contos
313.44671	197.7285	4487.53	5.022778	0.1124463	0.5104435	16.862205	-0.000351107	2147.35	87.5544	contos
336.66667	229.1153	4595.891	5.120461	0.1570751	0.5237421	11.452275	-0.000520083	543.59	560.94039	contos
359.88662	200.4072	4658.762	5.086065	0.1589175	0.48723	12.754533	-0.000384804	2163.33	80.83237	contos
383.10658	181.7334	4405.981	4.950936	0.2177472	0.5126668	11.627551	-0.000451413	693.33	391.96164	contos
406.32653	188.6788	4029.403	4.740187	0.1358054	0.5387429	14.385395	-0.000483751	618	445.52018	contos
429.54649	216.2361	2870.934	4.533263	0.3955162	0.4306074	4.115869	-0.001013845	337.67	209.55517	contos
452.76644	222.3679	1742.493	4.516132	0.5198671	0.2499042	9.092865	-0.00160312	482.11	48.09895	contos
475.98639	225.7455	1975.809	4.295906	0.3673689	0.3869947	6.66596	-0.000958286	511.91	123.6236	contos
11.5873	223.7567	4318.423	4.42364	0.06285471	0.5797539	12.879058	-0.000278008	980.52	121.29434	contos
34.80726	235.7627	3922.762	4.430218	0.10886943	0.5835296	14.493374	-0.000391488	957.49	74.18226	contos
58.02721	262.7873	3466.268	4.344295	0.06771391	0.5192856	10.418626	-0.000570565	819.17	164.96671	contos
81.24717	230.2569	3119.237	4.166169	0.13347963	0.5460532	9.970543	-0.000525014	654.22	113.99928	contos
127.68707	234.0266	1709.243	4.491206	0.32837846	0.2281104	5.590991	-0.002609696	471.43	88.12534	contos
243.78685	219.3148	3556.593	4.829428	0.51214086	0.576125	6.287974	-0.001222472	350.23	508.78794	contos
267.0068	203.4603	2951.492	4.767874	0.55142534	0.4841104	7.644725	-0.001777967	407	212.18389	contos
290.22676	205.756	3464.961	4.363105	0.36246923	0.4734766	8.09347	-0.000649087	449.89	430.72089	contos
313.44671	196.1672	3529.298	4.378642	0.41004241	0.4908808	9.636691	-0.000545082	502.92	444.73594	contos
336.66667	194.0578	3792.765	4.334189	0.28350123	0.577577	11.920181	-0.000311002	720.73	498.37879	contos
359.88662	176.1541	3198.652	4.320792	0.31014034	0.5212815	11.816573	-0.000572464	602.77	144.24207	contos
383.10658	150.5512	2638.281	3.90902	0.27940424	0.4832422	11.555714	-0.000528566	613.63	105.2253	contos
406.32653	143.2761	1818.476	3.715989	0.16381059	0.3798536	12.395138	-0.000633724	611.94	59.73191	contos
429.54649	138.751	1672.897	3.512767	0.18104373	0.3553729	9.219964	-0.000532122	509.05	250.59231	contos
127.68707	270.5053	3897.747	5.349784	0.302149504	0.52423356	9.3152	-0.001426412	421.4	363.13613	contos
150.90703	229.9604	4073.394	5.360482	0.374040289	0.55834815	8.579542	-0.001356973	433.92	516.20273	contos
174.12698	219.3712	4574.362	5.302757	0.311608466	0.60564358	14.131965	-0.000703268	2211.46	73.04736	contos
197.34694	202.4459	4480.986	5.426409	0.200526192	0.63717347	13.788388	-0.000935097	591.86	529.74936	contos
220.56689	152.4467	4722.645	5.325578	0.16990973	0.57780677	11.322025	-0.000595125	1893.92	329.1519	contos
243.78685	136.424	4855.734	5.229275	0.246259062	0.52697252	12.529081	-0.000412408	1945.27	126.06944	contos
267.0068	145.8346	4541.766	5.245162	0.342668839	0.54661689	12.067363	-0.000648349	1872.46	72.15245	contos
290.22676	173.1033	4568.23	5.100342	0.219278132	0.50096578	13.764105	-0.000460877	786.87	574.65487	contos
313.44671	192.5325	4010.519	4.760652	-0.040891878	0.50941471	8.730943	-0.000589036	1764.91	74.24098	contos
336.66667	220.8034	2500.675	4.735784	0.46833276	0.32531369	3.387793	-0.001845091	354.83	106.14184	contos
359.88662	225.9598	2155.891	4.68128	0.459135946	0.38967495	8.132914	-0.001375485	488.41	80.25282	contos
383.10658	227.068	3001.137	4.307108	0.306828176	0.51662361	6.461196	-0.000387127	452.06	194.30843	contos
406.32653	176.1541	2638.281	3.627686	0.232334996	0.41375902	8.579542	-0.000703268	591.86	106.14184	contos
429.54649	150.5512	1818.476	3.467796	0.284116896	0.49330071	14.131965	-0.000460877	786.87	516.20273	contos
452.76644	143.2761	3394.471	5.056842	0.257250749	0.51097765	13.788388	-0.001587763	405.56	126.8999	contos
475.98639	138.751	4500.653	5.288931	0.508280177	0.4726895	11.322025	-0.001054582	384.53	472.74098	contos
11.5873	448.465	1338.531	4.39062	0.15605037	0.2394518	0.6169181	-0.002878097	531.12	129.74051	contos
34.80726	412.4345	1427.088	4.311089	0.37965389	0.3171457	5.5644221	-0.00271209	583.21	74.91865	contos
58.02721	428.4569	1428.786	4.049405	0.38610731	0.3363753	0.9550614	-0.001852008	522.01	226.93422	contos
81.24717	440.1304	2116.818	3.888556	0.27695183	0.4704952	5.0919913	-0.000919465	873.6	166.13769	contos
104.46712	374.4326	1955.594	4.011072	0.09478597	0.3807596	6.9796545	-0.001299959	825.98	535.64612	contos
127.68707	395.4572	1773.152	3.99927	0.1824944	0.4066018	5.7225839	-0.001371948	1312.87	254.97989	contos
150.90703	395.4572	1922.743	4.204558	0.12045155	0.4020757	4.3572186	-0.001474978	585.63	391.75634	contos
174.12698	454.7532	1507.459	4.233996	0.34583494	0.3200656	3.7086204	-0.002391283	575.15	96.24098	contos
197.34694	383.7436	1378.626	4.244283	0.16974706	0.2775958	10.9271834	-0.002704271	568.02	108.77738	contos
220.56689	383.7436	1710.736	4.089071	0.18418526	0.3692497	7.2737501	-0.001466107	635.34	198.12025	contos
243.78685	383.7436	1557.545	3.975511	0.17560344	0.3028949	7.6604404	-0.001590251	597.05	118.34551	contos
267.0068	391.3079	1704.212	3.961513	0.20225867	0.3622099	5.7851926	-0.001325128	820.84	190.94851	contos
290.22676	427.3853	1936.474	4.136671	0.25209387	0.4387765	5.0924909	-0.001477163	812.38	474.80422	contos
313.44671	387.4265	1770.425	4.074465	0.28594809	0.3585025	5.8626356	-0.001416907	616.31	177.1618	contos
336.66667	393.4005	1910.48	3.887699	0.38465134	0.4651525	7.0285646	-0.00103649	601.85	130.11037	contos
359.88662	314.2627	2054.16	4.086431	0.40847348	0.5095787	9.8426123	-0.0013165	608.19	210.58082	contos
383.10658	204.3326	2413.21	4.089969	0.17023501	0.5793084	16.262543	-0.000921098	806	143.12074	contos
406.32653	175.5835	2349.134	4.06756	0.22617939	0.5797697	15.9391105	-0.000894794	783.39	187.65243	contos
429.54649	176.3119	2112.858	3.940222	0.34097389	0.5275332	15.7182631	-0.000921958	885.17	209.86323	contos
452.76644	208.9416	2186.459	3.85851	0.28524423	0.5232586	17.2413691	-0.000877596	813.41	219.85107	contos
475.98639	208.9416	2272.827	3.940556	0.36813035	0.5575526	15.2797014	-0.00085627	770.14	331.97684	contos
34.80726	224.9547	2438.649	3.764884	0.241472516	0.5954413	11.679163	-0.000365556	2185.14	187.99519	contos
174.12698	354.3029	3406.27	5.289413	0.208625941	0.5832904	6.391742	-0.001802381	1528.34	310.77462	contos
267.0068	232.3342	4418.242	5.276754	0.241970275	0.5956001	13.231764	-0.000176451	1138.59	557.42733	contos
290.22676	232.3342	4264.039	5.253747	0.225134679	0.6912031	13.549613	-0.000248857	1123.17	547.69851	contos
313.44671	198.4096	4295.808	5.057649	0.220502468	0.5862287	13.289836	8.52735E-05	1225.14	352.17061	contos
336.66667	219.1059	4598.63	5.026611	0.238494895	0.7001926	14.103854	0.00033483	1051.48	442.69851	contos
359.88662	233.4668	3477.278	4.777893	0.134085169	0.6022885	10.533386	-0.000587745	1574.86	177.05747	contos
383.10658	235.3163	2117.725	4.785297	0.323624329	0.391426	6.12717	-0.001818812	453.72	53.46054	contos
406.32653	239.9501	2843.451	4.800347	0.298100442	0.5199545	10.306506	-0.000934262	468.63	101.24149	contos
429.54649	290.4792	2410.012	4.099195	0.347304528	0.5257133	5.652703	-0.000355152	432.38	532.06781	contos
475.98639	225.8039	3324.085	3.531527	0.002245259	0.583835	12.437647	-0.000227054	500.09	235.52832	contos
11.5873	148.6312	2597.443	4.003115	0.30843156	0.5755508	7.457974	-0.000722743	2428.32	470.5371	contos
34.80726	169.7314	2855.036	3.897008	0.33787921	0.5901839	9.434294	-0.000552237	450.8	480.8183	contos
58.02721	186.3967	3938.376	4.774272	0.38632079	0.5467365	8.392038	-0.00111013	372.13	294.3972	contos
197.34694	300.1996	4420.798	5.069003	-0.054130262	0.4956053	14.404928	-0.000519443	1048.19	127.02336	contos
220.56689	246.8696	4150.889	4.778678	-0.079680535	0.46649833	15.087604	-0.000549071	1037.85	350.02366	contos
243.78685	218.4471	4395.087	4.670484	0.008985634	0.56059728	13.958061	-0.00019706	1016.37	267.97061	contos
452.76644	226.7357	3350.37	3.627052	0.315562816	0.52260976	6.190233	-0.000266285	565.48	326.29894	contos
475.98639	226.5017	2905.503	4.628867	0.403656956	0.48661107	12.461245	-0.000949632	521.38	63.815	contos
11.5873	448.465	1338.531	4.39062	0.15605037	0.2394518	0.6169181	-0.002878097	531.12	129.74051	contos
34.80726	412.4345	1427.088	4.311089	0.37965389	0.3171457	5.5644221	-0.00271209	583.21	74.91865	contos
58.02721	428.4569	1428.786	4.049405	0.38610731	0.3363753	0.9550614	-0.001852008	522.01	226.93422	contos
81.24717	440.1304	2116.818	3.888556	0.27695183	0.4704952	5.0919913	-0.000919465	873.6	166.13769	contos
104.46712	374.4326	1955.594	4.011072	0.09478597	0.3807596	6.9796545	-0.001299959	825.98	535.64612	contos
127.68707	395.4572	1773.152	3.99927	0.1824944	0.4066018	5.7225839	-0.001371948	1312.87	254.97989	contos
150.90703	395.4572	1922.743	4.204558	0.12045155	0.4020757	4.3572186	-0.001474978	585.63	391.75634	contos
174.12698	454.7532	1507.459	4.233996	0.34583494	0.3200656	3.7086204	-0.002391283	575.15	96.24098	contos
197.34694	383.7436	1378.626	4.244283	0.16974706	0.2775958	10.9271834	-0.002704271	568.02	108.77738	contos
220.56689	383.7436	1710.736	4.089071	0.18418526	0.3692497	7.2737501	-0.001466107	635.34	198.12025	contos
243.78685	383.7436	1557.545	3.975511	0.17560344	0.3028949	7.6604404	-0.001590251	597.05	118.34551	contos
267.0068	391.3079	1704.212	3.961513	0.20225867	0.3622099	5.7851926	-0.001325128	820.84	190.94851	contos
290.22676	427.3853	1936.474	4.136671	0.25209387	0.4387765	5.0924909	-0.001477163	812.38	474.80422	contos
313.44671	387.4265	1770.425	4.074465	0.28594809	0.3585025	5.8626356	-0.001416907	616.31	177.1618	contos
336.66667	393.4005	1910.48	3.887699	0.38465134	0.4651525	7.0285646	-0.00103649	601.85	130.11037	contos
359.88662	314.2627	2054.16	4.086431	0.40847348	0.5095787	9.8426123	-0.0013165	608.19	210.58082	contos
383.10658	204.3326	2413.21	4.089969	0.17023501	0.5793084	16.262543	-0.000921098	806	143.12074	contos
406.32653	175.5835	2349.134	4.06756	0.22617939	0.5797697	15.9391105	-0.000894794	783.39	187.65243	contos
429.54649	176.3119	2112.858	3.940222	0.34097389	0.5275332	15.7182631	-0.000921958	885.17	209.86323	contos
452.76644	208.9416	2186.459	3.85851	0.28524423	0.5232586	17.2413691	-0.000877596	813.41	219.85107	contos
475.98639	208.9416	2272.827	3.940556	0.36813035	0.5575526	15.2797014	-0.00085627	770.14	331.97684	contos
150.90703	226.2997	986.6513	3.03881	0.5683675	0.1918543	3.868978	-0.001824277	415.73	417.5209	sintos
174.12698	226.7961	1039.9906	3.057646	0.53094	0.2147977	2.221829	-0.001864439	375.55	390.8529	sintos
197.34694	226.5329	1058.677	3.221009	0.5698403	0.2075053	1.84738	-0.00215389	742.15	329.5444	sintos
220.56689	230.1141	1000.8431	3.260562	0.607504	0.2181193	4.087407	-0.002360999	414.19	202.2205	sintos
243.78685	270.4941	1093.6306	3.313941	0.3753383	0.1860077	3.541409	-0.002616035	452.36	266.1648	sintos
267.0068	311.1635	1428.5206	3.21768	0.3975425	0.2721989	3.925254	-0.001535742	529.23	215.8722	sintos
290.22676	309.5361	1129.81	3.156843	0.4606789	0.2223747	1.813031	-0.001827078	926.59	243.8751	sintos
313.44671	275.2226	1061.1251	3.185611	0.3916503	0.2123282	5.708389	-0.001856133	551.07	207.8585	sintos
336.66667	260.309	1236.8815	3.341653	0.4539125	0.2315668	2.445085	-0.002157368	613.88	325.648	sintos
359.88662	226.3515	1652.9426	3.550599	0.5138065	0.3049628	10.15723	-0.00203292	593.19	188.9106	sintos
