variance	energy	centroid	frequency	c5	c6	c7	c8	c9	c10	target
0.050086744	319.126669	1480.163889	3.130260771	0.148031096	0.193757888	0.352994155	-0.000590593	360.72	66.63690074	sintos
0.05876871	281.8095996	2386.664728	3.972388551	0.059584351	0.302000787	3.675037012	-0.000563254	1155.07	91.61957744	sintos
0.054157853	289.6099322	3912.867785	4.15940183	-0.021375266	0.42905892	4.050939326	-0.000303607	1270.34	237.1828045	sintos
0.088362852	293.2449685	6207.464196	4.572311108	-0.234557484	0.331379228	8.434690648	-0.000295234	1172.32	251.7137644	contos
0.125596821	296.2900932	6463.381354	5.017945021	-0.220216422	0.298638773	7.602017898	-0.000368831	1332.86	323.5582983	contos
0.157734486	296.8788932	5819.936221	5.137664341	-0.034865753	0.42477408	10.16546633	-0.000419126	1423.94	269.0164788	contos
0.402290049	283.7010715	3953.520524	5.32502893	-0.169187536	0.552902751	8.223268789	-0.003604331	1395.72	359.2540952	contos
0.512566013	298.8805615	5398.328595	6.099796776	-0.03523526	0.583596801	8.736365189	-0.00443894	543.67	362.8306402	contos
0.478119597	262.0268568	5593.571303	6.207165853	0.055976006	0.674362651	7.421294637	-0.004110631	3400.32	544.5465735	contos
0.452729317	180.4131865	3929.056353	6.03548248	-0.065836382	0.550150056	7.664382599	-0.004630771	604.13	550.8583459	contos
0.421665591	179.5861836	3486.690262	5.953962419	-0.10912487	0.493586293	7.310659843	-0.005165126	810.44	471.8175929	contos
0.427261847	179.5861836	3677.042973	5.806282151	-0.187701977	0.449304935	5.720792518	-0.004317624	1055.69	535.5043998	contos
0.43437261	179.5861836	3580.358242	5.721375963	0.004673262	0.434348033	6.592996853	-0.004647943	7653.58	251.9458097	contos
0.377577415	239.133037	4031.918627	5.644662126	-0.131093946	0.404097916	4.361276947	-0.003372838	4250.43	372.7791705	contos
0.326764868	188.3278597	3789.66024	5.647252641	-0.060628091	0.381165254	4.764488601	-0.003743209	7791.52	180.3645186	contos
0.258084603	217.7821026	4891.605022	5.499258946	-0.006314864	0.497928435	6.24820652	-0.001620774	709.27	439.8625295	contos
0.238057591	409.8082273	4431.798757	5.202419562	0.02940268	0.473143487	3.403335795	-0.001224347	566.54	527.7755473	contos
0.448442845	465.1614992	3370.309075	5.241764761	0.093490396	0.336991362	0.990395289	-0.004605544	423.75	295.4637994	contos
0.529034557	383.6709615	3019.432458	5.609166596	-0.0137984	0.390570644	3.068771929	-0.004236312	436.08	359.6546812	contos
0.382409602	355.4532195	3454.26777	5.823326901	0.00455251	0.542594479	5.6835312	-0.003008211	1291.01	157.9250727	contos
0.160702888	305.4822905	4982.640723	5.440840751	-0.039195262	0.529699532	8.844993769	-0.000805036	1436.34	131.9358701	contos
0.067033704	264.3665794	5531.232284	4.936599269	-0.127365735	0.555225366	12.43446868	-0.000270603	1365.91	341.6396166	contos
0.14735449	222.3036275	4897.023723	4.175191061	-0.165131517	0.546978083	14.26883709	-0.00046448	1674.75	212.8485441	contos
0.247399797	259.839836	5861.653882	5.273355878	-0.151614333	0.586732537	11.41597346	-0.002320103	1676.36	126.1139298	contos
0.213785443	286.7113654	6981.101398	5.951311758	-0.054362255	0.645906417	9.94863297	-0.000672696	1574.29	249.6186479	contos
0.134393844	286.7113654	5927.73003	5.197313989	-0.116840775	0.560669615	7.576196147	-0.000576373	992.89	518.5014017	contos
0.151178942	368.3943656	5271.580066	5.156302284	-0.040633052	0.425804851	4.094705221	-0.001193249	532.78	306.0845332	contos
0.132025126	265.4964367	7029.052457	5.19677627	0.140241657	0.600164183	9.875504547	-0.000194634	1817.39	467.2808984	contos
0.129022664	187.1525826	4949.256127	4.986629872	-0.113265493	0.385845015	6.553298759	-0.001506312	760.5	397.5336541	contos
0.113962322	211.4560646	5244.741593	5.112433035	0.090068432	0.490547588	6.538207253	-0.000724728	476.72	554.254286	contos
0.211077943	211.4560646	3629.564552	4.72258792	0.118998342	0.414885141	5.089571326	-0.000881897	1736.19	271.6735566	contos
0.249563722	254.7437496	1755.294801	4.806896593	0.280541663	0.201042484	-0.535768989	-0.002553382	329.92	260.7130732	contos
0.147505486	238.524039	1032.206174	4.363150406	-0.070931019	0.127888333	1.835165947	-0.001057801	360.22	193.0920438	contos
0.165215429	262.1108103	4044.676053	1.589263468	0.001520735	0.494296001	10.88008726	-0.000442455	1320.99	394.8205294	sintos
0.089089999	349.8456328	6516.743559	5.014257321	-0.366217892	0.58727719	15.38355467	-0.000511021	1597.96	259.7932858	contos
0.080357406	379.2980406	6520.91727	5.074164219	-0.337401783	0.589412322	14.26738984	-0.000368001	1001.02	424.2360551	contos
0.087031564	364.9925146	6037.764314	4.937999067	-0.375937063	0.57931292	13.02751608	-0.000354256	962.8	531.87938	contos
0.418179098	376.3270102	3345.48389	4.935458009	-0.235881615	0.326458391	1.660889466	-0.002674049	425.63	132.8719072	contos
0.469756455	327.553275	2022.619074	5.391483012	0.064666573	0.283801812	1.828773239	-0.004726866	1018.99	334.670343	contos
0.230300911	292.0989386	1995.816253	5.098121969	-0.084063039	0.265473671	6.342802008	-0.001601949	1116.74	63.28860745	contos
0.047458933	359.1712949	2497.986662	3.996666055	-0.008293817	0.286253632	3.110175387	-0.000250649	1174.49	212.0438129	contos
0.132474085	203.9762181	5260.774686	2.86614808	-0.237248596	0.380558218	5.789182931	-0.000938913	1636.14	470.3347402	sintos
0.151415058	164.7467499	5129.840179	5.112299071	-0.103301389	0.498070362	6.275827142	-0.001388841	1408.63	376.2773318	contos
0.137898426	293.911208	3849.296015	4.642246686	-0.088653075	0.521960428	3.884525088	-0.000734263	1794.8	230.2656789	contos
0.144273	282.882133	2293.181288	4.677975553	0.123014993	0.256462836	-0.308747701	-0.001098088	342.91	233.8024361	contos
0.051275227	282.882133	2275.956688	3.836348206	-0.111500333	0.297428343	1.782547759	-0.000200095	1042.91	171.1838774	contos
0.162127246	321.3282297	3031.372534	4.783671928	-0.19487135	0.328254434	9.043921757	-0.001730937	1697.09	99.81219234	contos
0.202011235	262.4189737	4130.078995	5.200669987	-0.211253857	0.427205283	8.366678304	-0.002468232	1579.78	428.7563878	contos
0.171972118	388.8326506	2918.498122	4.630297269	0.03198187	0.324884291	2.825830751	-0.001624011	479.27	281.8448304	contos
0.183033267	364.4788848	2794.8292	5.136355435	-0.244403291	0.365101567	6.431180759	-0.001525306	1042.6	590.6785008	contos
0.125880355	324.70935	2817.779205	4.753028472	-0.120363113	0.384852906	6.73211677	-0.001111471	1072.1	168.6448855	contos
0.073094857	304.1698945	2914.856632	4.652524197	-0.041390882	0.455555689	8.600717664	-0.000513105	1186.2	51.00566773	contos
0.061929579	418.8819595	4566.648959	3.902295791	-0.110602619	0.345652837	9.881960662	-0.000324931	1687.84	90.75409693	sintos
0.179566423	364.4229232	3194.25383	4.469407735	-0.055758768	0.339485355	4.462049975	-0.002342204	427.01	353.8150208	contos
0.050883887	165.5693268	4229.582241	3.856816775	-0.17041973	0.594104557	6.879788514	-0.000215978	4670.76	279.4563468	contos
0.095635036	168.2472711	2716.205124	4.186557267	-0.017668722	0.34930823	1.56125683	-0.000612559	1652.25	187.9910431	contos
0.103432235	160.9402776	2616.752093	3.985286188	0.138826591	0.293100889	1.038712089	-0.0005549	1714.29	213.4073393	contos
0.07942584	146.7623227	2487.87746	3.813998269	0.09239186	0.264467048	1.238724321	-0.00042303	1496.26	203.14667	contos
0.063861001	136.6343149	2030.715715	3.523941945	0.014788805	0.23060041	0.170241003	-0.000379738	1567.09	229.2213932	contos
0.056726837	127.8544201	1973.264806	3.310368297	-0.045051839	0.203932636	1.271943906	-0.000289597	1616.6	168.6099209	contos
0.050975108	122.8039365	1506.528638	3.112277743	-0.112777372	0.145289599	-0.468210268	-0.00030418	1436.73	161.129216	contos
0.042035616	125.4023772	1776.778695	3.574178874	0.045838073	0.227049697	8.351554476	-0.000386845	520.85	240.3928724	sintos
0.044904331	125.0037133	1850.09473	3.621549558	0.17332071	0.224667083	7.680970566	-0.000417764	549.87	319.795147	sintos
0.043346023	124.2148304	1947.054317	3.686687831	0.09384919	0.247496718	7.373046872	-0.000415442	554.55	330.5989454	sintos
0.042477809	123.4066437	1994.722819	3.672549799	-0.00022809	0.249581831	7.589860154	-0.00039775	475.37	495.7950672	sintos
0.043614239	123.7688378	2119.759751	3.692916768	0.090281057	0.24703986	6.911136862	-0.000375594	438.3	324.2218054	sintos
0.045813022	124.4965152	1991.72167	3.679205166	0.015917286	0.237882725	7.11765668	-0.000390552	454.47	322.4058884	sintos
0.040773966	125.4495156	2024.321347	3.659855944	0.010424897	0.250502976	6.987045873	-0.00037086	321.32	217.5943459	sintos
0.150540906	288.0722365	4529.579311	4.317148465	-0.396467937	0.409437059	11.43110183	-0.000744641	1578.94	303.7108248	sintos
