variance	energy	centroid	frequency	c5	c6	c7	c8	c9	target
0.043521616	194.3335987	1312.538283	1.709452595	0.047540043	9.717298454	-0.000348629	950.33	366.373748903085	sintos
0.067355607	197.6278388	839.4055348	4.786179373	0.033343566	2.614056762	-0.00040056	1252.84	381.024237185283	sintos
0.069529075	200.9220788	355.9779639	5.068637045	0.029593781	3.414301316	-0.000306087	236.83	464.846244510066	sintos
0.068064797	244.8588169	371.26231	4.902726869	0.027080779	2.227860667	-0.000309197	259.75	381.298772987084	sintos
0.063065904	247.2584217	426.1252215	4.075987197	0.027088102	3.166039961	-0.000304153	1361.88	99.587871400825	sintos
0.059004006	246.1215038	571.4193995	3.516302479	0.024713774	3.213224221	-0.000284775	288.85	532.115696789484	sintos
0.059728281	243.3295749	387.3780331	3.830015229	0.021813903	1.164431761	-0.000284611	278.03	258.673610708960	sintos
0.052401116	246.1855808	302.1501459	2.881062087	0.027305929	0.736517625	-0.000186942	281.38	135.357737156066	sintos
0.048090138	245.2470565	292.8745731	2.444892627	0.027346468	0.227448914	-0.000204115	262.64	189.962453625710	sintos
0.041665786	249.7819977	313.5969074	1.883102372	0.002926476	-0.807897893	-0.000124673	269.03	113.722289778403	sintos
0.046264445	224.9528677	531.2899246	2.296774969	0.017290872	3.147994418	-0.000256841	1454.99	291.490367716177	sintos
0.040366007	213.4530987	567.3292592	1.724433313	0.021038238	4.730650556	-0.000208947	1032.97	381.135584131819	sintos
0.054889846	222.9712072	595.6767523	3.09645495	0.016360277	3.008740115	-0.000331731	1480.45	286.314366995979	sintos
0.060131242	190.7172419	421.06384	3.869772822	0.017740381	3.525859427	-0.000264686	273.13	295.946894890948	sintos
0.04659322	190.7172419	437.634403	2.177345444	0.017514374	4.322087119	-0.000223427	270.03	350.486373904782	sintos
0.056783564	219.1037793	441.2037906	3.173627756	0.001592594	2.464252734	-0.000299573	1355.61	310.138117991329	sintos
0.063779019	209.7839971	409.1690905	4.42340586	0.01687868	2.635115178	-0.000307073	1399.98	169.235247632025	sintos
0.045766921	204.3726533	405.3475446	2.228882844	0.002715493	4.21698631	-0.000225713	979.21	572.526340903292	sintos
0.044565885	185.2476489	270.6374822	1.994299847	0.013295966	0.781313118	-0.00021889	266.64	239.104926747917	sintos
0.044708049	185.2476489	283.3404986	2.136328616	0.00130713	1.276116475	-0.000209408	1178.72	97.149655336542	sintos
0.045120755	185.2476489	382.7233852	2.021814032	0.024969198	1.7855038	-0.000201648	793.51	281.891932081420	sintos
0.05811848	185.4992991	246.112541	2.960239691	0.023619866	2.06870981	-0.000266079	1112.73	377.453611620901	sintos
0.071052149	203.2518327	238.5983237	5.207817723	0.015663908	-0.539574546	-0.000329567	1115.38	419.873608407425	sintos
0.077751763	205.1147355	272.7906936	6.14436541	0.01883114	0.657685297	-0.000364985	1917.64	236.825995267025	sintos
0.077601223	204.3658341	296.3123068	6.331779191	0.023500343	1.154620177	-0.000339729	1898	183.435167007504	sintos
0.079727452	205.9197724	297.3913582	6.668813553	0.023635168	0.994541251	-0.000367929	1926.58	228.883450454978	sintos
0.082739453	204.0357866	265.1162998	6.979260463	0.020922043	0.53910999	-0.000381192	213.60	448.227913925590	sintos
0.082156365	211.1115528	287.9383577	6.812849263	0.018178713	1.119311492	-0.000355457	224.76	485.431081468053	sintos
0.082126804	257.1698127	278.3718517	6.520112365	0.016460173	-1.665914146	-0.000390173	235.50	440.227088027773	sintos
0.078867952	267.3747797	271.8077777	6.740467937	0.014505971	-1.308309023	-0.000361175	241.30	407.984102902958	sintos
0.057395407	247.4652349	293.1822842	3.493709859	0.019795789	-0.11889001	-0.000273825	238.94	480.000029651474	sintos
0.046428362	201.9132564	412.4037993	2.004186801	0.025063842	1.77493366	-0.000224438	1052.53	425.953266664610	sintos
0.059890938	236.0528332	286.4533394	3.763022698	0.016667111	-1.018708588	-0.000276666	206.91	449.397514464597	sintos
0.076751164	267.3420973	278.5191812	5.827140357	0.014749011	-1.343661464	-0.000333533	255.18	366.098605805605	sintos
0.084096133	267.6587961	267.8095098	7.240839565	0.015052675	-2.104997195	-0.000374275	273.05	323.354263470130	sintos
0.008147876	257.7037865	326.9925949	6.916582359	0.015351437	-1.224038249	-0.000354319	267.20	267.915470975599	sintos
0.076506217	207.4531321	307.6971346	5.864339929	0.01709072	0.398887761	-0.00031964	235.16	279.255514347792	sintos
0.058979813	186.159688	269.8663351	3.780280961	0.018846583	0.711174963	-0.000267396	1937.41	54.211086809585	sintos
0.040203431	183.2709779	366.0029549	1.750243393	0.032127603	2.697029089	-0.000169457	764.26	372.080196505413	sintos
0.004493672	194.7106564	264.4131819	2.057218946	0.022486077	0.663123883	-0.000177911	1009.90	308.907612479664	sintos
0.06189339	194.7106564	253.9249407	3.637550525	0.01409276	-1.397723526	-0.000242834	1107.41	313.797427016403	sintos
0.067375867	204.7402194	244.7170637	4.844316397	0.012536406	-1.139584699	-0.000275689	1116.09	131.682920795987	sintos
0.068625926	205.0186728	239.2803356	5.097832091	0.000125371	-1.3581878	-0.000308715	1124.96	104.413619370607	sintos
0.069107295	205.5270905	233.546395	4.234086344	0.017393353	-0.208703704	-0.000250301	1149.93	92.229949685186	sintos
0.062696171	187.8170751	211.9916725	4.322411017	0.014013087	-0.873366945	-0.000290673	210.53	269.167103988650	sintos
0.062665254	137.8178121	310.0539797	3.780572172	0.017517433	3.895507872	-0.000251902	1180.40	281.076886227343	sintos
0.005609473	122.7669636	227.8921386	3.444583598	0.00155515	3.999234106	-0.000253812	232.22	434.657983579452	sintos
0.051761222	124.1319332	266.7588585	2.660955051	0.016145498	4.27091045	-0.00024932	312.06	297.339852669022	sintos
0.048314087	125.2946465	202.9490261	2.558102211	0.01796596	3.750655416	-0.000206735	327.46	373.276851613940	sintos
0.073987165	151.9140193	765.2001534	5.165411479	0.035682751	5.469139452	-0.00030659	1084.18	151.023111990090	sintos
0.010933148	156.7894776	741.7376545	12.40234794	0.002226669	6.864197089	-0.000511218	1079.32	135.545650476020	sintos
0.012087567	166.7005269	842.7887027	15.26150205	0.001906429	8.094238862	-0.000509787	1192.33	473.584178360393	sintos
0.01246237	170.1624037	923.3113809	15.90032208	0.02113817	8.050209337	-0.000533726	1251.94	454.936252763428	sintos
0.012762348	167.5233336	831.7285433	15.23326163	0.021858253	7.002708916	-0.000523193	1483.99	73.015918109381	sintos
0.012893069	168.5662745	864.1899589	16.17814245	0.020707669	6.848497905	-0.000659721	1426.39	99.696284003456	sintos
0.013886235	168.2791371	771.3868991	17.58123645	0.019061853	5.739626906	-0.000753992	1442.97	183.173148590882	sintos
0.014307421	165.0569539	813.8654254	20.56871124	0.019260793	6.077640743	-0.000736751	1423.85	58.313081636955	sintos
0.013271539	163.4647635	791.9592534	18.15352879	0.021855944	5.825744238	-0.000679336	1418.01	72.747063975545	sintos
0.012052159	163.1749949	803.6238699	14.59341525	0.035371016	6.632458352	-0.000505396	1422.93	94.763322560590	sintos
0.011670574	165.3524707	959.3875054	14.05004629	0.037865017	7.399857879	-0.000492502	1449.62	66.683992206057	sintos
0.012019039	166.7981096	1086.733581	15.25470408	0.00379515	7.704781382	-0.000450935	1468.01	61.663549785128	sintos
0.012231785	167.0183516	1136.582719	15.81544879	0.039436515	8.645614066	-0.000442684	1465.85	56.170174445441	sintos
0.012418256	165.2469998	1145.019973	16.25047782	0.038199295	7.915943108	-0.000477421	1444.27	68.683323419406	sintos
0.013598892	166.6686139	1141.6452	18.28510094	0.003037671	7.09105163	-0.000537987	1459.75	56.672660610691	sintos
0.013971757	165.2078727	1046.109034	19.60693489	0.020868693	5.68276454	-0.000661713	1482.75	56.650889640596	sintos
0.014135803	167.402367	946.9965568	20.70520555	0.019325869	5.769633769	-0.000752336	1489.01	60.238736349631	sintos
0.000149409	199.661201	873.1804916	22.88291446	0.02231079	5.379972078	-0.000706691	1463.30	82.932501447718	sintos
0.015347339	260.0292883	747.0188873	24.15634968	0.021294114	2.870533866	-0.000875058	1429.96	76.113237778922	sintos
0.016756597	285.7073675	714.8037403	29.53763514	0.020490098	2.328801006	-0.00089576	1415.31	75.668937560325	sintos
0.001827998	282.3610342	644.9450663	34.92551745	0.019734776	2.033098322	-0.000851875	1433.69	74.678578971653	sintos
0.016543778	253.3289772	615.7871657	28.27027999	0.019876121	2.44732666	-0.000879308	218.78	579.407601357831	sintos
0.014666355	224.5084405	717.6125622	23.04724246	0.021518833	3.575529951	-0.000824198	1469.38	109.354397956056	sintos
0.014970779	229.5001329	678.852849	22.43012363	0.021056935	3.991158847	-0.000715285	1468.07	107.411675829977	sintos
0.013773044	216.2862854	639.7171665	19.9502938	0.023104035	3.476331093	-0.000751482	1470.20	127.936134072218	sintos
0.014866731	202.5113664	760.5988242	22.95400462	0.024074315	5.171733107	-0.000688539	1475.39	114.438713911483	sintos
0.015248749	191.4330302	561.1371756	24.66913064	0.019924581	3.157419602	-0.000742241	1469.31	85.361485038959	sintos
0.016556229	201.4621474	632.2723714	28.76746436	0.001767594	3.167548076	-0.000781568	202.28	498.250154516570	sintos
0.018420996	205.5511421	568.4494231	34.38166338	0.01858718	3.956475957	-0.000740284	1490.48	94.552446642741	sintos
0.017401534	203.3208084	532.1017587	31.34769888	0.019094294	2.511822547	-0.000823584	1510.55	78.931553605919	sintos
0.017606713	203.3011368	466.1948718	32.9080814	0.017028152	2.618269602	-0.000874272	1484.37	100.926488433813	sintos
0.001783842	205.6744841	584.0329634	34.03607175	0.0187421	3.468247455	-0.00080204	1502.30	94.326209472475	sintos
0.015882399	205.6224957	760.6527383	26.1133303	0.020293965	5.17765119	-0.000739717	1513.79	103.903384547239	sintos
0.001601335	210.3426377	835.331119	26.32770031	0.016401691	5.206891811	-0.000868578	1482.94	105.699477579176	sintos
0.016069733	223.2788377	893.15837	26.12157911	0.018966654	5.07869814	-0.000774684	1472.48	127.106772570984	sintos
0.014913621	203.0757196	863.1702406	23.81236502	0.019353294	5.631835901	-0.000831305	1471.14	84.078231752592	sintos
0.001469374	186.6780856	890.1835427	22.08654736	0.020238321	6.471120825	-0.000710996	1486.11	81.417205506600	sintos
0.014187393	184.0200988	997.36126	20.80777154	0.020214611	8.252119882	-0.000765076	403.56	300.369834142846	sintos
0.01299197	185.9666172	968.7299009	17.91849577	0.021917328	6.887880472	-0.000635676	1492.13	81.313030668903	sintos
0.011878548	185.1943827	1069.609048	14.50073473	0.022205604	6.302547763	-0.000574374	1471.77	84.045376998514	sintos
0.011923685	179.3723143	1155.272899	14.1991506	0.024109361	6.560419188	-0.000527006	1490.91	91.752596303331	sintos
0.012395716	168.0588824	1121.803126	15.35793249	0.023663135	7.320793443	-0.000534253	354.02	579.282230553257	sintos
0.011807001	164.1006501	1118.460091	14.05724852	0.023102116	7.405055511	-0.000521216	359.09	385.500998180738	sintos
0.010856032	163.0788901	1035.821151	11.92067212	0.024823261	7.483830773	-0.000491498	322.59	438.121017805605	sintos
0.010804498	165.1535397	976.9087046	11.71472384	0.02359937	8.487153689	-0.00047848	295.46	592.429412484772	sintos
0.010441933	162.7003547	1072.763324	10.98277864	0.023101798	7.642963725	-0.000455562	1441.38	51.647620952303	sintos
0.01073722	152.7581163	1049.964376	11.89366284	0.023178461	8.695058839	-0.000479225	275.13	508.001870506647	sintos
0.010453487	142.9974614	885.7379602	11.01147528	0.021242344	8.081769612	-0.000478809	300.56	288.174103283170	sintos
0.010785848	133.9213627	918.23386	11.18834328	0.001913915	9.29456132	-0.000521911	313.06	542.521760294284	sintos
0.001460148	132.6580602	747.6304159	21.58581278	0.017877526	11.0102409	-0.000779661	389.50	233.035693515777	sintos
0.01999788	160.1917525	636.8560688	40.52790131	0.016709422	11.21437434	-0.00107542	456.82	167.356220552833	sintos
0.019636857	211.5964459	654.6377987	40.74128347	0.001910781	7.425261481	-0.001370409	1254.93	302.309824077270	sintos
0.014102868	240.7888392	470.9021172	21.26862717	0.025785388	4.187612354	-0.00078961	1412.68	185.322920287063	sintos
0.01257768	269.6136407	634.0392575	16.23449174	0.031291768	3.707509903	-0.00069587	1061.15	431.363172350836	sintos
0.001266644	249.6924322	912.7451706	16.42230022	0.035085904	6.351012094	-0.000725176	1467.33	286.650480971136	sintos
